Name,Address,Contact
A & A Daycare Centre,"3380 Midland Ave ,22 (Midland / Finch E.)Ward: Scarborough-Agincourt","Phone:Angela McAloney, 416-298-4489"
Abacus Montessori Learning Centre,2723 St Clair Ave EWard: Beaches-East York,"Phone:Olive Somasunderam, 416-285-8613"
Abiona Centre For Infant And Early Mental Health Elc Broadview Campus,1102 Broadview Ave (Broadview / Mortimer)Ward: Toronto-Danforth,"Phone:Farwa Batool, 437-328-2816"
Abiona Centre For Infant And Early Mental Health Elc Humewood Campus,40 Humewood Dr (Christie / St. Clair)Ward: Toronto-St. Paul's,"Phone:Sue Sinclair, 416-651-5657 ext 226"
Aboriginal Head Start - Epnigishmok,"20 Bansley Ave ,Rm 119/120Ward: Toronto-St. Paul's","Phone:Amanda Macewen, 416-639-9036"
Absorbent Minds (Op1756925 Ontario Inc.),16 Old Kingston Rd (Old Kingston Rd. / Morningside)Ward: Scarborough-Rouge Park,"Phone:Huma Esmail, 416-284-6286"
Absorbent Minds 2,20 Old Kingston Rd (Old Kingston Rd. / Morningside)Ward: Scarborough-Rouge Park,"Phone:Aisha Bhatti, 647-515-6286"
Absorbent Minds Montessori East,6534 Kingston Rd (Ellesmere Rd / Kingston Rd)Ward: Scarborough-Rouge Park,"Phone:Huma Esmail, 647-500-3467"
Absorbent Years Childcare (Montessori),2737 Bayview Ave (Bayview Ave /Macdonald-Cartier)Ward: Don Valley West,"Phone:Imanthi De Bellefeuille, 416-502-1769"
Absorbent Years Childcare Inc,128 Fairview Mall Dr (Sheppard Ave E & Don Mills Rd)Ward: Don Valley North,"Phone:Imanthi De Bellefeuille, 416-502-1769"
After Four Children's Enrichment Program,10 Japonica Rd (Ellesmere / Pharmacy)Ward: Scarborough Centre,"Phone:Sabrina Pallotta, 416-446-7398"
Agape Christian Montessori School (2236800 Ontario Inc.),301 Silver Star Blvd (Midland Ave / McNicoll Ave)Ward: Scarborough-Agincourt,"Phone:Corie Tse, 647-717-1800"
Agile Innovators Montessori,"Toronto Children's Services Consultant, Marissa Tapangco, 416-392-6176, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Jennifer Dantas, 416-430-7407, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Shena Xie, 647-812-0520"
Agincourt Montessori School Inc.,2575 Midland Ave (Midland / Sheppard E.)Ward: Scarborough North,"Phone:Kiera Thompson, 416-291-0726"
Agincourt Temple Day Care(Governing Council Of The Salvation Army),3080 Birchmount Rd (Birchmount / Finch E.)Ward: Scarborough-Agincourt,"Phone:Margaret Wong, 416-497-0329 ext 230"
Air-O-Down Child Care Centre,7 Hawksdale Rd (Wilson / Keele)Ward: York Centre,"Phone:Toni Tolomeo-Locantore, 416-633-2014"
Albion Early Learning  & Child Care Centre,1545 Albion Rd (Albion / Kipling)Ward: Etobicoke North,"Phone:Rosanna Taraborrelli, 416-392-5083"
Albion Heights School Age YMCA,45 Lynmont Rd (Finch W. / Martingrove)Ward: Etobicoke North,"Phone:Susan Clarke, 416-744-4265"
Alderwood Action After School,544 Horner Ave (Horner / Browns Line)Ward: Etobicoke-Lakeshore,"Phone:Reena Somani, 416-259-7738"
Alexander Muir Gladstone Jr YMCA,108 Gladstone Ave (Queen W. / Dufferin)Ward: Davenport,"Phone:Sandra Santos, 416-534-8454"
Alexandra Park Early Learning & Child Care Centre,"Every Child Belongs Resource Consultation Staff, Pamela Chang, 416-603-1827, Ext. 4231, is available to help this centre and the family when a child has anextra supportneed.","Phone:Sonia Chavez A., 416-392-5515"
Alive Montessori & Private School,2 Wembley Rd (Eglinton Ave W / Bathurst)Ward: Eglinton-Lawrence,"Phone:Krisztina Toth, 416-602-1151"
All About Kids Inc. (1055 Gerrard Street East),1055 Gerrard St E (Gerrard/Jones)Ward: Toronto-Danforth,"Phone:Samia Labib, 416-463-5437"
All About Kids Sheppard,"2005 Sheppard Ave E ,Suite 115 (Sheppard E. / Victoria Park)Ward: Don Valley North","Phone:Kelsey Maccrimmon, 416-496-3232"
Allenby Day Care,391 St Clements Ave (Eglinton W. / Avenue Rd.)Ward: Eglinton-Lawrence,"Phone:Carol Mayne, 416-487-7108"
All My Children Child Care,"Toronto Children's Services Consultant, Maureen Bailey, 416-397-5389, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Caley Drake, 416-438-3697, Ext. 14406, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Wei Hua 'wendy' Chen, 416-291-9200"
Alphabet Academy,111 Manor Rd EWard: Toronto-St. Paul's,"Phone:Jessica Lipinski, 416-219-9021"
Alphabet Station,2206 Queen St EWard: Beaches-East York,"Phone:Kassandra Long, 416-402-4702"
Alphabet Treehouse Childcare Centre,1780 Avenue Rd (Avenue Rd / Wilson Ave)Ward: Eglinton-Lawrence,"Phone:Elina Kompaniyets, 416-548-7891"
Alternative Primary School Parent Group,1100 Spadina Rd (Spadina / Eglinton W.)Ward: Eglinton-Lawrence,"Phone:Debra Deonarine, 416-322-5385"
Alvin Curling YMCA,"Every Child Belongs Resource Consultation Staff, Marissa Rodrigues, 416-338-1625, is available to help this centre and the family when a child has anextra supportneed.","Phone:Frances Garcia, 416-287-8534"
Ancaster Early Learning & Child Care Centre,45 Ancaster Rd (Wilson / Dufferin)Ward: York Centre,"Phone:Melissa Brown, 416-392-5064"
"Ancaster Public School, Extended Day Program",44 Ancaster Rd (Wilson / Dufferin)Ward: York Centre,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Angelgate Daycare Inc.,432 Runnymede Rd (Runnymede / Annette)Ward: Parkdale-High Park,"Phone:Jennifer Tolentino, 647-835-4546"
Angelgate Daycare Ltd. 230 Jane Street,230 Jane St (Jane St & Annette St)Ward: Parkdale-High Park,"Phone:Samantha Warner, 416-792-6243"
Angelgate Daycare Ltd. 232 Jane Street,232 Jane StWard: Parkdale-High Park,"Phone:Samantha Warner, 416-792-6243"
Angus Valley Montessori,"4841 Yonge St ,100Ward: Willowdale","Phone:Samiksha Nikki Gupta, 416-723-1155"
Annex Montessori School,427 Bloor St WWard: University-Rosedale,"Phone:Amanda Hitch, 416-994-0549"
Annunciation Catholic School Before & After Child Care Program,65 Avonwick Gate (Cassandra Blvd / Victoria Park)Ward: Don Valley East,"Phone:Raveena Ravinthiran, 647-289-8728"
Antica Village Children's Day Care Centre (646508 Ontario Ltd),360 Hullmar Dr (Steeles W. / Jane)Ward: Humber River-Black Creek,"Phone:Mandira Gupta, 416-661-8666"
A Place To Play Nursery School Of Bloor West Village,680 Annette St (Annette / Jane)Ward: Parkdale-High Park,"Phone:Kelly Adlam, 416-767-6650"
Apple Day Care Centre,"3434 Eglinton Ave E ,102 (Markham Rd & Eglinton Ave E)Ward: Scarborough-Guildwood","Phone:Jessica Charitable Dorizan, 416-264-3158"
Apple Jacks Preschool,19 Benlamond AveWard: Beaches-East York,"Phone:Cassie St Amand, 416-690-9555"
Aquabella Child Care,75 Edgewater DrWard: Spadina-Fort York,"Phone:Jessica Wong, 416-645-6000 ext 1158"
Arbor Glen Community Child Care Centre,55 Freshmeadow Dr (Steeles E. / Don Mills)Ward: Don Valley North,"Phone:Catherine Henderson, 416-497-4040"
Armour Heights Child Care Program,"148 Wilson Ave ,108 (Wilson / Avenue Rd.)Ward: Eglinton-Lawrence","Phone:Florence Kirchner, 416-486-6881"
Ars Nursery School - Armenian Community Centre,"Toronto Children's Services Consultant, Nathalie Gruzalc, 416-397-4753, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Victoria Chan, 416-430-7420, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Ani Tourosian, 416-491-2210 ext 1009"
Ascot Avenue Community Daycare,991 St Clair Ave W (St Clair Ave W/Oakwood Ave)Ward: Davenport,"Phone:Teresa Gabriele-Peak, 416-651-2275"
Ascot Avenue Community Day Care,95 Regal Rd (Davenport / Dufferin)Ward: Davenport,"Phone:Meghan Kearns, 416-653-7760"
Aspiring Academics Preschool Inc.,262 Woodfield RdWard: Toronto-Danforth,"Phone:Jasmine Dale, 416-889-9389"
Aspiring Academics Preschool - Kingston,2372 Kingston RdWard: Scarborough Southwest,"Phone:Jasmine Dale, 416-889-9389"
Aspiring Academics Preschool - Somerset,56 Somerset Ave (Davenport Rd / Somerset Ave)Ward: Davenport,"Phone:Jasmine Dale, 416-889-9389"
Atelier Kids Annex,34 Madison AveWard: University-Rosedale,"Phone:Stephanie Nadeau, 416-892-3607"
Atelier Kids Inc.,15 Oakmount RdWard: Parkdale-High Park,"Phone:Jenna Niven, 416-604-2442"
Atelier Kids Inc.,21 Quebec AveWard: Parkdale-High Park,"Phone:Jenna Niven, 416-419-3864"
Athletic Montessori Academy,890 Danforth Ave (Danforth Ave / Pape Ave)Ward: Toronto-Danforth,"Phone:Charmaine Wright, 647-679-0442"
Avalon Children's Montessori School,31 Wood Glen Rd (Kingston Rd. / Warden)Ward: Scarborough Southwest,"Phone:Christine Keery, 416-690-7744"
Avenue Road Child Care (1498 Avenue Road),1498 Avenue Rd (Avenue Rd. / Lawrence)Ward: Eglinton-Lawrence,"Phone:April Parrett, 416-783-2773"
